This document has 951 terms. 
t_index	term	Norm_tf_idf
5425	choosing	0.3122913925959828
1800	amnesty	0.23799525473249894
2871	stakes	0.15886425678184654
1110	liberty	0.15868705180892193
6926	glenn	0.15860812102551064
11970	sermon	0.1496674279150354
1513	battle	0.14159776001141824
987	religious	0.136417455242704
1000	marriage	0.11522223402631716
3203	schumer	0.11347446912989038
374	candidate	0.11072127385709862
6995	abyss	0.09516487261530637
1430	pastor	0.09099723369334785
2988	burned	0.09077957530391231
1045	stood	0.08961729313158003
546	court	0.08442571870509159
548	amendment	0.08442571870509159
1180	fundamental	0.08200898068112418
506	god	0.07972930673197305
4231	neighbor	0.0780791742943362
702	stage	0.07799619521205434
2178	caucus	0.07745358488204301
1049	barack	0.07681482268421146
12003	mailers	0.0748337139575177
11985	socialized	0.0748337139575177
900	cold	0.06992471203773738
575	supreme	0.06950286613557868
3178	publicly	0.06808468147793423
1695	decide	0.0679986442092854
543	iowa	0.06754057496407327
396	bill	0.0670635406658909
500	nine	0.06378344538557844
6920	weeping	0.06344324841020425
5831	risen	0.06344324841020425
6953	elevated	0.06344324841020425
6927	beck	0.06344324841020425
6996	chronicles	0.06344324841020425
7246	blessing	0.06344324841020425
7190	partialbirth	0.06344324841020425
5950	blizzard	0.06344324841020425
2504	chuck	0.06099347597336603
2429	prayer	0.06099347597336603
1392	commit	0.0606648224622319
936	matters	0.0600967793620733
1306	parenthood	0.05854370353652781
906	land	0.05827059336478115
2202	uss	0.058090188661532254
5404	foundational	0.056780253199269604
5079	fishing	0.056780253199269604
2103	steve	0.05549310966307589
337	question	0.055255277127905345
800	establishment	0.05484507505302598
1902	ads	0.05314376593821415
1946	rubio	0.05314376593821415
1053	individual	0.05289568393630731
4213	hiding	0.0520527828628908
4383	advice	0.0520527828628908
4338	chosen	0.0520527828628908
1044	planned	0.0512098817894743
1779	nd	0.05099898315696406
1722	king	0.05099898315696406
1662	faced	0.05099898315696406
202	ask	0.050366287259433346
719	obamas	0.050189258360282075
1608	illegally	0.04902597425718195
1545	principle	0.04902597425718195
1609	touch	0.04902597425718195
3643	follows	0.04838587198936404
3382	cronyism	0.04838587198936404
3700	revival	0.04838587198936404
3266	torn	0.04838587198936404
1451	voters	0.04719925333713942
1419	shooting	0.045498616846673924
3222	awakening	0.04538978765195616
2914	harm	0.04538978765195616
3206	lord	0.04538978765195616
2886	abortion	0.04538978765195616
2865	joy	0.04538978765195616
2973	gods	0.04538978765195616
3231	shall	0.04538978765195616
837	safe	0.04521771311465852
473	obamacare	0.045172129262520615
351	defend	0.044268861691305554
1328	lift	0.04390777765239586
1269	fought	0.04390777765239586
1291	pull	0.04390777765239586
829	hit	0.043876060042420784
106	washington	0.04303600520008437
335	democrats	0.04297632665503749
2679	supports	0.04285663443873972
2806	trail	0.04285663443873972
2680	proposal	0.04285663443873972
770	decision	0.042587034581615696
1243	defending	0.04241341393249765
1232	supporting	0.04241341393249765
552	senate	0.042212859352545797
2381	joined	0.04066231731557736
2535	demonstrate	0.04066231731557736
2432	tragic	0.04066231731557736
2508	pray	0.04066231731557736
728	mother	0.04015140668822566
89	stand	0.04014661538618102
2162	taxpayer	0.03872679244102151
2313	mainstream	0.03872679244102151
2277	hasnt	0.03872679244102151
2288	marco	0.03872679244102151
2307	monday	0.03872679244102151
2167	unanimous	0.03872679244102151
2266	gang	0.03872679244102151
1009	bear	0.03840741134210573
1015	girls	0.03840741134210573
11973	ordained	0.03741685697875885
11967	notification	0.03741685697875885
12006	distortions	0.03741685697875885
11978	natives	0.03741685697875885
11994	proposes	0.03741685697875885
11987	mandating	0.03741685697875885
11996	pretend	0.03741685697875885
11991	criticizing	0.03741685697875885
11964	primaries	0.03741685697875885
11971	pond	0.03741685697875885
11966	parental	0.03741685697875885
12000	precinct	0.03741685697875885
11992	engaging	0.03741685697875885
11962	recanted	0.03741685697875885
11999	overrule	0.03741685697875885
11965	estates	0.03741685697875885
11975	echoes	0.03741685697875885
11998	ennis	0.03741685697875885
11969	marriages	0.03741685697875885
11959	panoply	0.03741685697875885
11980	deranged	0.03741685697875885
11986	epic	0.03741685697875885
11974	contenders	0.03741685697875885
11993	namecalling	0.03741685697875885
11972	purported	0.03741685697875885
11976	pickin	0.03741685697875885
11990	opposes	0.03741685697875885
11963	prolife	0.03741685697875885
11961	gland	0.03741685697875885
11979	florist	0.03741685697875885
11997	usd	0.03741685697875885
12007	shaving	0.03741685697875885
12005	silliness	0.03741685697875885
12002	beset	0.03741685697875885
11960	glen	0.03741685697875885
11989	authoring	0.03741685697875885
11977	videoguard	0.03741685697875885
11988	charming	0.03741685697875885
11957	speechless	0.03741685697875885
11981	benevolent	0.03741685697875885
11983	suiting	0.03741685697875885
12004	fireplace	0.03741685697875885
11958	bart	0.03741685697875885
12001	roommate	0.03741685697875885
11968	righttolife	0.03741685697875885
12009	assailed	0.03741685697875885
11995	magically	0.03741685697875885
11982	staffs	0.03741685697875885
12008	awaken	0.03741685697875885
11984	arise	0.03741685697875885
121	men	0.037416845219805886
978	mr	0.03720476052073745
2043	ignored	0.03699540644205059
2024	horrific	0.03699540644205059
2119	cartel	0.03699540644205059
271	listen	0.0369164756586393
651	winning	0.03680622313885718
952	arms	0.036058067617243984
1923	tear	0.03542917729214277
1893	undermine	0.03542917729214277
901	stands	0.03496235601886869
573	earth	0.03475143306778934
587	morning	0.03475143306778934
597	nuclear	0.03475143306778934
1751	natural	0.0339993221046427
1683	rally	0.0339993221046427
823	rose	0.03290704503181559
1607	doubt	0.0326839828381213
1605	threats	0.0326839828381213
1638	target	0.0326839828381213
194	family	0.032434333022800556
7176	newtown	0.03172162420510213
6990	texan	0.03172162420510213
6308	email	0.03172162420510213
6818	happiness	0.03172162420510213
6890	persecute	0.03172162420510213
7240	peril	0.03172162420510213
6956	wade	0.03172162420510213
7138	unanimously	0.03172162420510213
7249	homosexual	0.03172162420510213
6832	gore	0.03172162420510213
6227	honda	0.03172162420510213
7187	enlightened	0.03172162420510213
6923	vander	0.03172162420510213
6997	oath	0.03172162420510213
6027	dreamer	0.03172162420510213
7178	ton	0.03172162420510213
6954	authored	0.03172162420510213
6994	cliff	0.03172162420510213
7158	soldier	0.03172162420510213
7177	connecticut	0.03172162420510213
7248	congregation	0.03172162420510213
7175	convict	0.03172162420510213
6634	lies	0.03172162420510213
7179	bricks	0.03172162420510213
6924	plaats	0.03172162420510213
7245	confused	0.03172162420510213
6610	prohibiting	0.03172162420510213
6116	comp	0.03172162420510213
7225	reminder	0.03172162420510213
6600	blamed	0.03172162420510213
7174	squishy	0.03172162420510213
5792	betty	0.03172162420510213
6921	cometh	0.03172162420510213
7156	mitt	0.03172162420510213
7184	stimulus	0.03172162420510213
6950	baker	0.03172162420510213
7134	responding	0.03172162420510213
6527	colder	0.03172162420510213
7183	tarp	0.03172162420510213
7247	defunding	0.03172162420510213
6955	roe	0.03172162420510213
6964	naturally	0.03172162420510213
358	politicians	0.03162061549378968
147	second	0.03155690709951815
1518	chief	0.03146616889142628
1462	individuals	0.03146616889142628
117	republican	0.031180704349838235
755	funding	0.031009997524160116
1417	spirit	0.03033241123111595
1395	minute	0.03033241123111595
1344	accept	0.03033241123111595
1397	mothers	0.03033241123111595
734	trump	0.03011355501616924
1276	medicine	0.029271851768263905
1253	immediately	0.029271851768263905
1283	ability	0.029271851768263905
1266	accountable	0.029271851768263905
