This document has 860 terms. 
t_index	term	Norm_tf_idf
5425	choosing	0.2699276346015344
2988	burned	0.18880618982695122
1513	battle	0.14958701415132714
1000	marriage	0.13693873896210584
1049	barack	0.13693873896210584
2768	tea	0.12733509130843043
4411	saeed	0.12372685714606972
1045	stood	0.12172332352187186
3382	cronyism	0.11501079370309748
7184	stimulus	0.11310106733786289
2114	sailors	0.10992028466502089
374	candidate	0.10836779103674607
3203	schumer	0.10788925132968641
737	someone	0.10736761748531126
1306	parenthood	0.10436658780586226
2504	chuck	0.09665229117498897
2459	ignore	0.09665229117498897
702	stage	0.09269652429878636
1044	planned	0.0912924926414039
11523	humiliate	0.08893799454411565
11541	bailouts	0.08893799454411565
1269	fought	0.08697215650488523
1930	celebrate	0.08421337950699302
2871	stakes	0.0809169384972648
2790	pastors	0.07640105478505826
2702	settled	0.07640105478505826
2584	welfare	0.07640105478505826
2821	details	0.07640105478505826
2851	suggest	0.07640105478505826
770	decision	0.0759204357694979
7131	mandates	0.07540071155857525
7188	militants	0.07540071155857525
89	stand	0.07455194806581107
2417	image	0.07248921838124173
1430	pastor	0.07209862191563338
909	willing	0.06925314060586811
542	iran	0.06825503590781846
5018	fabulous	0.0674819086503836
823	rose	0.0651819978974546
1190	iranian	0.06497707954222229
619	whos	0.06375473884924109
1932	ships	0.06316003463024476
1110	liberty	0.06286519538513381
4235	captured	0.06186342857303486
4408	subsidies	0.06186342857303486
1009	bear	0.06086166176093593
1727	criminals	0.06061101401895422
95	fight	0.05932911831184426
704	prison	0.05793532768674148
3645	sessions	0.05750539685154874
3573	attempt	0.05750539685154874
410	party	0.057439539317480096
634	news	0.05467909281122106
3167	fights	0.053944625664843204
3061	carter	0.053944625664843204
3234	khomeini	0.053944625664843204
3020	announces	0.053944625664843204
3196	backbone	0.053944625664843204
2938	apply	0.053944625664843204
606	shouldnt	0.05312894904103424
2806	trail	0.050934036523372174
2791	washingtondc	0.050934036523372174
2834	reid	0.050934036523372174
2465	reporting	0.048326145587494485
2414	fed	0.048326145587494485
2345	knees	0.048326145587494485
293	debate	0.046664718478777116
710	islamic	0.04634826214939318
2162	taxpayer	0.046025822756651534
2314	boehner	0.046025822756651534
2149	pledge	0.046025822756651534
2316	harry	0.046025822756651534
473	obamacare	0.04473828676756628
11519	hides	0.044468997272057824
11552	library	0.044468997272057824
11549	religiously	0.044468997272057824
11522	precondition	0.044468997272057824
11554	admitting	0.044468997272057824
11536	heroically	0.044468997272057824
11515	alaska	0.044468997272057824
11555	captures	0.044468997272057824
11539	awol	0.044468997272057824
11514	aired	0.044468997272057824
11537	jam	0.044468997272057824
11556	tyrants	0.044468997272057824
11546	praises	0.044468997272057824
11551	subpoenas	0.044468997272057824
11526	lessen	0.044468997272057824
11535	dumbs	0.044468997272057824
11550	memorials	0.044468997272057824
11530	vertebrates	0.044468997272057824
11534	triumphant	0.044468997272057824
11528	metric	0.044468997272057824
11557	fury	0.044468997272057824
11544	choosy	0.044468997272057824
11543	tarpon	0.044468997272057824
11527	foxholes	0.044468997272057824
11545	inst	0.044468997272057824
11559	delve	0.044468997272057824
11548	rabbis	0.044468997272057824
11521	resin	0.044468997272057824
11525	summarize	0.044468997272057824
11529	appearing	0.044468997272057824
11553	playin	0.044468997272057824
11517	howard	0.044468997272057824
11560	receiver	0.044468997272057824
11540	bailing	0.044468997272057824
11532	bleedin	0.044468997272057824
11518	dealer	0.044468997272057824
11533	astonishment	0.044468997272057824
11542	sugar	0.044468997272057824
11520	aus	0.044468997272057824
11538	crow	0.044468997272057824
11547	lightness	0.044468997272057824
11524	braves	0.044468997272057824
11531	upright	0.044468997272057824
11558	stepped	0.044468997272057824
11516	languished	0.044468997272057824
987	religious	0.04421692594446018
2103	steve	0.04396811386600835
2060	rhetoric	0.04396811386600835
2024	horrific	0.04396811386600835
452	wonderful	0.04347002253743577
946	disaster	0.04285411015193419
952	arms	0.04285411015193419
436	anyone	0.042233869737318935
1810	nominee	0.04210668975349651
1907	bless	0.04210668975349651
1923	tear	0.04210668975349651
86	obama	0.0417490909168542
906	land	0.041551884363520857
575	supreme	0.041301207719528915
597	nuclear	0.041301207719528915
117	republican	0.04076323468876704
1756	prosecute	0.040407342679302814
1701	cheap	0.040407342679302814
1692	light	0.040407342679302814
1769	jimmy	0.040407342679302814
1791	jeff	0.040407342679302814
1800	amnesty	0.040407342679302814
1722	king	0.040407342679302814
847	moment	0.040305089540643636
548	amendment	0.04013514076737691
546	court	0.04013514076737691
1658	ayatollah	0.03884409490870636
1653	reporter	0.03884409490870636
777	step	0.03796021788474895
778	terrorists	0.03796021788474895
506	god	0.037902513571141515
6009	humiliating	0.037700355779287625
7186	flight	0.037700355779287625
7174	squishy	0.037700355779287625
6930	unconditional	0.037700355779287625
7185	illegitimate	0.037700355779287625
7178	ton	0.037700355779287625
6240	towers	0.037700355779287625
7180	distinguish	0.037700355779287625
7181	triumph	0.037700355779287625
7183	tarp	0.037700355779287625
7173	equivalence	0.037700355779287625
7187	enlightened	0.037700355779287625
6807	evident	0.037700355779287625
7175	convict	0.037700355779287625
7179	bricks	0.037700355779287625
6143	priests	0.037700355779287625
7177	connecticut	0.037700355779287625
6905	murderers	0.037700355779287625
6992	constitutionalist	0.037700355779287625
6430	cos	0.037700355779287625
6325	louder	0.037700355779287625
7189	presbyterians	0.037700355779287625
5812	scars	0.037700355779287625
5744	aint	0.037700355779287625
7016	compliant	0.037700355779287625
7172	consisted	0.037700355779287625
7182	combination	0.037700355779287625
7176	newtown	0.037700355779287625
271	listen	0.03760654852032436
351	defend	0.03758030945603934
1516	promises	0.037396753537831784
266	wanna	0.03644630242649038
1404	surprised	0.03604931095781669
1416	selling	0.03604931095781669
719	obamas	0.03578920582843709
1319	anywhere	0.03478886260195409
1293	none	0.03478886260195409
1294	violent	0.03478886260195409
682	corporate	0.03476119661204489
694	choice	0.03476119661204489
433	words	0.03378709578985515
675	john	0.033768041958414444
4479	exam	0.0337409543251918
4972	nominating	0.0337409543251918
4863	imprisoned	0.0337409543251918
5396	idaho	0.0337409543251918
5411	parallels	0.0337409543251918
5079	fishing	0.0337409543251918
5415	wildeyed	0.0337409543251918
5051	violated	0.0337409543251918
5197	attempts	0.0337409543251918
4899	asks	0.0337409543251918
5296	terrified	0.0337409543251918
5367	wordforword	0.0337409543251918
5234	tearing	0.0337409543251918
4751	wrongly	0.0337409543251918
4781	agrees	0.0337409543251918
4903	helicopters	0.0337409543251918
5187	pursued	0.0337409543251918
5368	knockdown	0.0337409543251918
4468	undermined	0.0337409543251918
5369	dragout	0.0337409543251918
5426	shouldertoshoulder	0.0337409543251918
5359	demonstrated	0.0337409543251918
5311	shameful	0.0337409543251918
5366	unelected	0.0337409543251918
5414	consists	0.0337409543251918
5353	dismay	0.0337409543251918
5256	twin	0.0337409543251918
5370	descended	0.0337409543251918
5322	serves	0.0337409543251918
5373	disprove	0.0337409543251918
4951	curry	0.0337409543251918
1191	thanks	0.033604853369228846
1242	reagan	0.033604853369228846
645	havent	0.03280745568673264
101	americans	0.032651436990740336
1176	noticed	0.032488539771111144
1168	focused	0.032488539771111144
1180	fundamental	0.032488539771111144
1177	final	0.032488539771111144
279	proud	0.032325196256571764
1077	supported	0.031432597692566906
4232	lit	0.03093171428651743
4393	unison	0.03093171428651743
4345	attend	0.03093171428651743
4422	contrast	0.03093171428651743
4227	winners	0.03093171428651743
4392	encouraged	0.03093171428651743
4413	amir	0.03093171428651743
4360	highlight	0.03093171428651743
4238	shake	0.03093171428651743
4319	ignoring	0.03093171428651743
4400	fruits	0.03093171428651743
4421	servicemen	0.03093171428651743
4098	losers	0.03093171428651743
4414	hekmati	0.03093171428651743
4399	yall	0.03093171428651743
4162	afterwards	0.03093171428651743
3864	rapists	0.03093171428651743
4435	accused	0.03093171428651743
3985	reaching	0.03093171428651743
4373	surrendered	0.03093171428651743
4384	gosh	0.03093171428651743
4284	seventh	0.03093171428651743
4412	abedini	0.03093171428651743
4402	pattern	0.03093171428651743
4415	jason	0.03093171428651743
4155	dumb	0.03093171428651743
4323	failures	0.03093171428651743
4032	capture	0.03093171428651743
4251	internal	0.03093171428651743
4434	leavenworth	0.03093171428651743
4193	violations	0.03093171428651743
4205	nasty	0.03093171428651743
3906	incarcerated	0.03093171428651743
4379	mitch	0.03093171428651743
4043	cent	0.03093171428651743
4419	ethanol	0.03093171428651743
4286	scheduling	0.03093171428651743
4424	chipotle	0.03093171428651743
4273	securing	0.03093171428651743
4391	issued	0.03093171428651743
1014	looked	0.030430830880467965
552	senate	0.030101355575532684
360	lead	0.030064247564831465
962	phone	0.02947795062964012
337	question	0.02918645012816927
3598	nationwide	0.02875269842577437
3622	unify	0.02875269842577437
3304	emotional	0.02875269842577437
3605	shutdown	0.02875269842577437
3726	militant	0.02875269842577437
3741	marine	0.02875269842577437
3632	millennia	0.02875269842577437
3644	checked	0.02875269842577437
