This document has 437 terms. 
t_index	term	Norm_tf_idf
710	islamic	0.3049876106924717
4381	baghdad	0.24424966626259553
3535	iraqi	0.22704325177688492
12161	isf	0.17557283831932233
12182	alabadi	0.17557283831932233
1150	strategy	0.14965008744919645
4349	reconciliation	0.12212483313129777
12159	shiite	0.11704855887954821
12164	trainers	0.11704855887954821
12156	tikrit	0.11704855887954821
12157	kobani	0.11704855887954821
1975	proven	0.1157301643925736
479	iraq	0.10906617918860491
7275	sectarian	0.0992325571502067
820	air	0.08578402242927104
4235	captured	0.08141655542086518
4350	sunni	0.08141655542086518
3409	targeting	0.0756810839256283
3659	imposed	0.0756810839256283
1461	effective	0.07382507550592951
1434	mission	0.07116508390775812
2967	egypt	0.07099486249641712
2812	kurds	0.06703271873329451
2783	libya	0.06703271873329451
1169	syria	0.06413575176394133
2448	operations	0.06360055369152368
2425	jordan	0.06360055369152368
63	state	0.06099880630275488
2269	engaged	0.060573169571969065
12142	fallujah	0.058524279439774105
12192	getgo	0.058524279439774105
12181	haider	0.058524279439774105
12168	halfhearted	0.058524279439774105
12145	haram	0.058524279439774105
12195	gen	0.058524279439774105
12175	fantasy	0.058524279439774105
12179	illusory	0.058524279439774105
12186	entrenched	0.058524279439774105
12193	weekends	0.058524279439774105
12138	executions	0.058524279439774105
12148	eritrean	0.058524279439774105
12204	erdogan	0.058524279439774105
12169	embolden	0.058524279439774105
12191	dooms	0.058524279439774105
12151	disturbingly	0.058524279439774105
12196	deptula	0.058524279439774105
12167	deliberation	0.058524279439774105
12162	defeats	0.058524279439774105
12140	crucified	0.058524279439774105
12147	cropped	0.058524279439774105
12163	imperfect	0.058524279439774105
12183	shia	0.058524279439774105
12205	incirlik	0.058524279439774105
12189	invaded	0.058524279439774105
12176	spokesman	0.058524279439774105
12199	rigid	0.058524279439774105
12178	requisite	0.058524279439774105
12171	redeploying	0.058524279439774105
12143	ramadi	0.058524279439774105
12154	radioactive	0.058524279439774105
12165	pleas	0.058524279439774105
12200	ostensibly	0.058524279439774105
12201	oppressing	0.058524279439774105
12152	surfacing	0.058524279439774105
12184	nouri	0.058524279439774105
12172	mushroomed	0.058524279439774105
12133	mosul	0.058524279439774105
12180	monththe	0.058524279439774105
12160	militias	0.058524279439774105
12194	lt	0.058524279439774105
12188	loyalists	0.058524279439774105
12198	unfettered	0.058524279439774105
12177	col	0.058524279439774105
12134	jv	0.058524279439774105
12190	absent	0.058524279439774105
12149	sensational	0.058524279439774105
12203	tayyip	0.058524279439774105
12158	iranbacked	0.058524279439774105
12155	invincible	0.058524279439774105
12173	westernstyle	0.058524279439774105
12141	territorial	0.058524279439774105
12146	wolf	0.058524279439774105
12150	broadening	0.058524279439774105
12166	blanks	0.058524279439774105
12135	carved	0.058524279439774105
12170	besides	0.058524279439774105
12137	beheaded	0.058524279439774105
12174	avowed	0.058524279439774105
12185	almalaki	0.058524279439774105
12144	boko	0.058524279439774105
12153	chlorinebased	0.058524279439774105
12187	almaliki	0.058524279439774105
12197	asymmetric	0.058524279439774105
12139	brutalized	0.058524279439774105
12206	bypassing	0.058524279439774105
12136	captives	0.058524279439774105
12202	antiamerican	0.058524279439774105
1953	christians	0.0554153191793674
1865	anniversary	0.0554153191793674
1613	however	0.05112151846182249
1549	vicious	0.05112151846182249
7213	sharia	0.04961627857510335
7132	shattered	0.04961627857510335
6898	illusions	0.04961627857510335
6602	embed	0.04961627857510335
7237	botched	0.04961627857510335
7223	boots	0.04961627857510335
6528	recommended	0.04961627857510335
7232	intentioned	0.04961627857510335
5628	invasion	0.04961627857510335
7227	isolated	0.04961627857510335
5945	utopia	0.04961627857510335
6548	atrocities	0.04961627857510335
5617	lacking	0.04961627857510335
7233	prioritized	0.04961627857510335
6844	liberate	0.04961627857510335
5858	lingering	0.04961627857510335
7277	predecessor	0.04961627857510335
5918	populations	0.04961627857510335
6983	marking	0.04961627857510335
7188	militants	0.04961627857510335
7229	peshmerga	0.04961627857510335
7230	egyptian	0.04961627857510335
6682	grabbed	0.04961627857510335
6360	surrounded	0.04961627857510335
5890	dramatic	0.04961627857510335
7276	starters	0.04961627857510335
7172	consisted	0.04961627857510335
7231	directive	0.04961627857510335
6824	demonstrates	0.04961627857510335
7220	conquer	0.04961627857510335
1503	troops	0.04921671700395301
1484	forces	0.04921671700395301
1494	actions	0.04921671700395301
1407	prime	0.04744338927183874
5350	rebuke	0.04440543211287932
