This document has 1017 terms. 
t_index	term	Norm_tf_idf
3871	irans	0.37554834297029227
542	iran	0.266367379186689
597	nuclear	0.19251964154264414
1314	sanctions	0.135764607444985
2832	hezbollah	0.1325144305196061
4250	missile	0.12071196738330824
1190	iranian	0.11974377528393378
1193	agreement	0.116572422185698
6598	restrictions	0.11443195494400142
5189	aircraft	0.10241397687894484
1883	partners	0.10041939918880721
3373	facilities	0.09974070301811108
518	israel	0.09861048414721102
1255	region	0.09805221648804473
1150	strategy	0.0915687693347729
3688	diplomacy	0.0872731151408472
3613	israeli	0.0872731151408472
3821	additional	0.08047464492220549
1136	allies	0.07748126636019245
10033	nonproliferation	0.07712961379738843
10050	moniz	0.07712961379738843
10079	verify	0.07712961379738843
10058	breakout	0.07712961379738843
10024	riskier	0.07712961379738843
10081	anticipate	0.07712961379738843
3611	israels	0.0748055272635833
3637	iranians	0.0748055272635833
4606	aggression	0.07315284062781774
5186	strengthening	0.07315284062781774
2962	confront	0.07017352086644271
3201	material	0.07017352086644271
1801	weapon	0.07008484397267216
3910	enforcing	0.0670622041018379
3869	regime	0.0670622041018379
1037	talks	0.0659762524828436
1227	commitment	0.06557198747945513
6399	inspections	0.06538968853942938
6596	monitor	0.06538968853942938
5989	cheating	0.06538968853942938
6599	enhanced	0.06538968853942938
6442	enrichment	0.06538968853942938
6589	proxies	0.06538968853942938
6595	decisively	0.06538968853942938
1509	broader	0.0648631031638193
1964	enforce	0.06390325402924095
2424	gulf	0.06286475703526692
3388	robust	0.06233793938631942
130	deal	0.06087194968400182
603	secretary	0.05989745939967779
10060	expire	0.05784721034804133
10070	poised	0.05784721034804133
10026	skepticism	0.05784721034804133
2066	secret	0.057195639376644736
571	weapons	0.0565603359375127
807	international	0.05652772305180663
915	defense	0.055746494778616214
1080	access	0.05451852457666578
4255	tries	0.05364976328147033
1010	coalition	0.052781001986274875
1583	necessary	0.050530092127243416
383	military	0.050346266802331084
3368	cooperation	0.04987035150905554
3617	expressed	0.04987035150905554
6608	rocket	0.04904226640457204
3176	obligations	0.04678234724429514
3063	perfect	0.04678234724429514
3202	acquire	0.04678234724429514
2970	diplomatic	0.04678234724429514
834	behavior	0.04660499345675406
4595	disagreements	0.04389170437669065
920	toward	0.0433583848278126
2513	credible	0.04190983802351128
2427	produced	0.04190983802351128
1078	expect	0.04088889343249934
1461	effective	0.04053943947738706
4269	crackdown	0.040237322461102745
2150	capacity	0.03991493120711994
2243	conflict	0.03991493120711994
2228	treaty	0.03991493120711994
10056	compel	0.038564806898694216
10057	compliance	0.038564806898694216
10094	malicious	0.038564806898694216
10031	mastered	0.038564806898694216
10093	eliminating	0.038564806898694216
10038	twisting	0.038564806898694216
10103	hormuz	0.038564806898694216
10119	embedded	0.038564806898694216
10051	undersecretary	0.038564806898694216
10084	unilaterally	0.038564806898694216
10106	choke	0.038564806898694216
10063	microscopic	0.038564806898694216
10059	cheats	0.038564806898694216
10040	tankers	0.038564806898694216
10039	energyhungry	0.038564806898694216
10049	ernie	0.038564806898694216
10150	skill	0.038564806898694216
10066	unspecified	0.038564806898694216
10086	iaea	0.038564806898694216
10069	severely	0.038564806898694216
10053	sherman	0.038564806898694216
10096	longstanding	0.038564806898694216
10076	scenarios	0.038564806898694216
10099	kidnapping	0.038564806898694216
10032	defied	0.038564806898694216
10089	fingerprints	0.038564806898694216
10102	strait	0.038564806898694216
10090	tn	0.038564806898694216
10025	deterring	0.038564806898694216
10131	safer	0.038564806898694216
10036	deepening	0.038564806898694216
10095	deepen	0.038564806898694216
10085	gaps	0.038564806898694216
10043	sultan	0.038564806898694216
10027	ruthless	0.038564806898694216
10041	rusting	0.038564806898694216
10078	grapples	0.038564806898694216
10104	cyber	0.038564806898694216
10071	rushes	0.038564806898694216
10028	cries	0.038564806898694216
10080	distrust	0.038564806898694216
10046	earnest	0.038564806898694216
10037	firepower	0.038564806898694216
10098	smuggling	0.038564806898694216
10030	foment	0.038564806898694216
10064	particles	0.038564806898694216
10055	verification	0.038564806898694216
10062	monitoring	0.038564806898694216
10047	bilateral	0.038564806898694216
10052	wendy	0.038564806898694216
10061	protocol	0.038564806898694216
10054	accomplishes	0.038564806898694216
10044	oman	0.038564806898694216
10091	vowed	0.038564806898694216
10042	mon	0.038564806898694216
10073	perfection	0.038564806898694216
10082	bend	0.038564806898694216
10045	aides	0.038564806898694216
10074	vigor	0.038564806898694216
10048	multilateral	0.038564806898694216
10088	preserved	0.038564806898694216
10100	persian	0.038564806898694216
10092	vance	0.038564806898694216
10087	waver	0.038564806898694216
10105	nontraditional	0.038564806898694216
10083	noncompliance	0.038564806898694216
10097	qualitative	0.038564806898694216
10068	assure	0.038564806898694216
10075	proceeding	0.038564806898694216
10122	weaknesses	0.038564806898694216
10067	piecebypiece	0.038564806898694216
10065	physicist	0.038564806898694216
10101	naval	0.038564806898694216
10029	wiping	0.038564806898694216
951	trust	0.03716432985241081
1809	sustain	0.036516145159566256
1857	permanent	0.036516145159566256
1880	intelligence	0.036516145159566256
1963	sharing	0.036516145159566256
739	wait	0.036210346066913535
720	dangerous	0.036210346066913535
345	program	0.035849810270032416
1169	syria	0.035218757436451115
3144	tehran	0.035086760433221356
3181	actors	0.035086760433221356
1744	effect	0.03504242198633608
1709	concern	0.03504242198633608
278	including	0.03364001964704689
2685	tradition	0.033128607629901524
1016	comprehensive	0.0329881262414218
6597	aspect	0.03269484426971469
6602	embed	0.03269484426971469
6609	reaffirm	0.03269484426971469
6604	soviets	0.03269484426971469
6593	burns	0.03269484426971469
6464	detail	0.03269484426971469
6524	balancing	0.03269484426971469
6603	cheat	0.03269484426971469
6590	centrifuges	0.03269484426971469
6592	radar	0.03269484426971469
5893	persuaded	0.03269484426971469
5758	sullivan	0.03269484426971469
6352	jake	0.03269484426971469
6606	obtain	0.03269484426971469
6084	racing	0.03269484426971469
6591	uranium	0.03269484426971469
5997	pillars	0.03269484426971469
6029	expectations	0.03269484426971469
6612	strengthened	0.03269484426971469
6006	tunnel	0.03269484426971469
6594	merits	0.03269484426971469
6610	prohibiting	0.03269484426971469
