This document has 1288 terms. 
t_index	term	Norm_tf_idf
128	gonna	0.15717925150912163
559	guy	0.12335719432340196
405	hes	0.11636163463549554
2266	gang	0.10609685651647811
9509	cellphones	0.10250812566568056
622	nice	0.09797655569276305
46	dont	0.09764190900141655
468	amazing	0.09625362214446298
376	trade	0.09516382047342259
741	tremendous	0.09166647011503853
2290	migration	0.08841404709706509
6417	dig	0.0869053283171826
6416	excavator	0.0869053283171826
858	mexico	0.08258635977724249
1837	internet	0.08088552529849422
398	guys	0.07961585527691799
994	japan	0.07927660306483571
2656	corner	0.07827404764200997
5024	spark	0.07777827696195982
1782	prisoners	0.07762113710827313
461	ok	0.07562784597064948
1596	event	0.07461819107198699
618	hell	0.07348241676957228
870	wouldnt	0.07226306480508717
1505	cares	0.07183789730501587
1511	cnn	0.07183789730501587
377	china	0.07137286535506694
286	mean	0.06954708038756052
64	im	0.06935382560082258
1400	cell	0.06924950573274724
1418	vets	0.06924950573274724
1409	magazine	0.06924950573274724
9541	scotch	0.06833875044378704
9514	banger	0.06833875044378704
9491	stupidest	0.06833875044378704
9546	supposing	0.06833875044378704
9508	beheadings	0.06833875044378704
9496	plastic	0.06833875044378704
9497	yesterdays	0.06833875044378704
9462	travis	0.06833875044378704
1317	crowds	0.0668282271194812
734	trump	0.06416652908052696
112	really	0.06285646330606333
706	anymore	0.06232340957698473
1778	phones	0.06209690968661852
1113	cameras	0.06038095587051909
818	truck	0.06010195724211529
649	shes	0.058820544090088314
438	folks	0.05841348029362568
786	terrible	0.05833623458938845
6405	mit	0.057936885544788395
6384	decimated	0.057936885544788395
1455	usa	0.05747031784401269
762	television	0.05663715910903661
2443	neighborhood	0.05569973362018668
2394	file	0.05569973362018668
695	company	0.0534200653517012
2256	rebuilt	0.05304842825823906
2154	knocked	0.05304842825823906
25	said	0.05268774038130763
521	unless	0.052446245154790724
6	know	0.05226200171928063
4437	complaining	0.05185218464130654
5041	flags	0.05185218464130654
4896	drudge	0.05185218464130654
4876	wakes	0.05185218464130654
4981	slightly	0.05185218464130654
27	like	0.05167451460474402
1218	solve	0.051643028378847766
1236	sudden	0.051643028378847766
837	safe	0.05161647486077655
866	guess	0.05161647486077655
145	thing	0.05123203872821275
2046	negotiations	0.05067675479487114
338	night	0.05045956420778281
425	spent	0.05044087320956159
645	havent	0.0504176092200757
640	mine	0.0504176092200757
813	certain	0.05008496436842941
224	number	0.049210966627140314
1920	seventeen	0.04853131517909653
1106	hurt	0.04830476469641527
4189	publicity	0.04753502064578976
3916	facility	0.04753502064578976
4083	stupidity	0.04753502064578976
4216	kentucky	0.04753502064578976
4045	locally	0.04753502064578976
4137	tubes	0.04753502064578976
347	nobody	0.046201921285601646
439	show	0.04543270689504219
221	went	0.04511005274154529
526	stuff	0.04495392441839205
1627	girl	0.04477091464319219
1581	gas	0.04477091464319219
1655	fox	0.04477091464319219
1657	everywhere	0.04477091464319219
693	youll	0.044516721126417656
196	doesnt	0.044428941309410566
3449	alien	0.044186368095579395
3422	pbs	0.044186368095579395
3520	caterpillar	0.044186368095579395
